City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,ponta delgada,37.7333,-25.6667,21.4,60,20,3.6,PT,1688834949
287,ibi,38.6253,-0.5723,29.63,39,0,1.2,ES,1688834950
288,fortuna,40.5982,-124.1573,14.43,91,100,3.6,US,1688834950
289,zeya,53.75,127.2667,16.68,80,94,2.28,RU,1688834950
290,kiffa,16.6166,-11.4045,40.2,23,12,4.54,MR,1688834950
291,ameca,20.55,-104.0333,28.91,44,17,1.22,MX,1688834951
292,freetown,8.484,-13.2299,28.84,70,40,3.6,SL,1688834951
293,itaituba,-4.2761,-55.9836,34.09,55,40,3.6,BR,1688834951
294,guarapari,-20.6667,-40.4975,28.27,49,3,5.16,BR,1688834951
295,meadow lakes,61.6247,-149.6011,10.93,92,100,0.0,US,1688834952
296,batyrevo,55.0675,47.6111,25.33,61,63,1.48,RU,1688834952
297,ma'rib,15.4591,45.3253,34.61,7,85,3.92,YE,1688834953
298,miles city,46.4083,-105.8406,22.54,53,0,3.09,US,1688834953
299,sironj,24.1,77.7,27.43,80,76,4.28,IN,1688834953
300,bhisho,-32.8472,27.4422,11.35,67,39,4.39,ZA,1688834953
301,fort bragg,35.139,-79.006,32.17,67,100,1.54,US,1688834953
302,yuzhno-kurilsk,44.0306,145.8556,13.32,99,40,2.09,RU,1688834954
303,colonia,50.9333,6.95,33.87,33,20,2.57,DE,1688834954
304,revda,56.801,59.9303,19.08,66,47,1.76,RU,1688834954
305,island harbour,50.724,-1.2758,23.04,81,99,1.34,GB,1688834954
306,chibougamau,49.9168,-74.3659,23.79,41,40,2.57,CA,1688834840
307,san julian,21.0167,-102.1667,22.34,52,94,2.58,MX,1688834780
308,youghal,51.95,-7.8506,17.56,79,81,5.09,IE,1688834954
309,langepas,61.2544,75.2124,15.0,85,37,4.81,RU,1688834955
310,rio grande,-32.035,-52.0986,17.06,84,96,4.17,BR,1688834955
311,luganville,-15.5333,167.1667,24.49,86,99,3.94,VU,1688834955
312,dulag,10.9525,125.0317,26.02,87,100,0.68,PH,1688834955
313,sroda wielkopolska,52.2284,17.2762,29.99,33,0,1.59,PL,1688834955
314,bodaybo,57.8506,114.1933,16.08,69,95,2.18,RU,1688834955
315,manismata,-2.4667,111.0333,22.41,99,81,1.12,ID,1688834956
316,namdrik,5.5994,168.1028,28.11,82,100,6.37,MH,1688834956
317,darab,28.7519,54.5444,34.77,11,3,5.06,IR,1688834956
318,saint-philippe,-21.3585,55.7679,20.77,75,53,5.94,RE,1688834956
319,thunder bay,48.4001,-89.3168,18.99,52,75,3.6,CA,1688834847
320,seeb,23.6703,58.1891,34.05,52,56,2.57,OM,1688834956
321,al khums,32.6486,14.2619,29.81,52,0,6.61,LY,1688834956
322,nuuk,64.1835,-51.7216,14.34,62,40,3.09,GL,1688834957
323,coquimbo,-29.9533,-71.3436,16.85,55,0,4.12,CL,1688834676
324,ola,59.5833,151.2833,10.9,77,31,1.94,RU,1688834957
325,belo sur tsiribihina,-19.7,44.55,21.06,87,4,2.14,MG,1688834957
326,armacao de buzios,-22.7469,-41.8817,33.03,51,1,4.06,BR,1688834957
327,malvern,34.3623,-92.813,29.45,63,99,2.78,US,1688834958
328,an nuhud,12.7,28.4333,29.01,48,100,3.6,SD,1688834958
329,kone,-21.0595,164.8658,18.84,93,71,1.42,NC,1688834958
330,borogontsy,62.6683,131.1683,9.78,75,100,4.77,RU,1688834958
331,el calafate,-50.3408,-72.2768,-2.77,68,9,0.55,AR,1688834958
332,vyaz'ma,55.2104,34.2951,19.36,65,69,1.37,RU,1688834958
333,lashio,22.9333,97.75,21.63,96,100,0.84,MM,1688834959
334,nabire,-3.3667,135.4833,24.03,93,100,1.73,ID,1688834959
335,fort st. john,56.2499,-120.8529,18.94,59,0,2.57,CA,1688834959
336,polyarnyy,69.1989,33.4478,7.41,77,100,5.19,RU,1688834959
337,skovorodino,53.9833,123.9167,16.82,68,100,1.82,RU,1688834735
338,rifle,39.5347,-107.7831,25.39,35,0,0.0,US,1688834943
339,kuzovatovo,53.5468,47.6866,25.06,54,71,2.39,RU,1688834959
340,guerrero negro,27.9769,-114.0611,20.85,63,25,5.75,MX,1688834781
341,zabol,32.25,67.25,22.53,42,19,2.19,AF,1688834960
342,sisimiut,66.9395,-53.6735,11.29,77,100,2.43,GL,1688834960
343,stornoway,58.2093,-6.3865,21.13,67,93,8.23,GB,1688834960
344,marsabit,2.3284,37.9899,21.75,42,0,9.07,KE,1688834960
345,cooma,-36.2333,149.1333,3.95,75,76,7.43,AU,1688834960
346,nema,57.5067,50.5011,19.59,90,77,3.03,RU,1688834960
347,buala,-8.145,159.5921,26.21,88,88,3.5,SB,1688834961
348,bonthe,7.5264,-12.505,27.63,71,95,4.3,SL,1688834961
349,kasempa,-13.4584,25.8338,16.74,40,1,2.13,ZM,1688834961
350,aripuana,-9.1667,-60.6333,35.53,28,15,1.81,BR,1688834961
351,usinsk,65.9939,57.5281,11.47,78,100,2.94,RU,1688834961
352,changde,29.0464,111.6783,26.96,88,100,2.15,CN,1688834961
353,lompoc,34.6391,-120.4579,22.69,80,100,8.23,US,1688834962
354,baro,8.6,6.4167,28.6,79,84,1.79,NG,1688834727
355,elgin,42.0373,-88.2812,22.3,78,100,3.09,US,1688834627
356,geraldton,-28.7667,114.6,8.23,93,0,3.6,AU,1688834962
357,sao vicente,-23.9631,-46.3919,31.98,27,0,3.13,BR,1688834962
358,port augusta,-32.5,137.7667,9.47,87,3,2.82,AU,1688834962
359,kiknur,57.3034,47.2011,19.82,90,75,11.37,RU,1688834963
360,solikamsk,59.6196,56.7729,18.33,96,88,2.66,RU,1688834912
361,yambol,42.4833,26.5,24.14,60,75,5.14,BG,1688834963
362,dalhart,36.0595,-102.5133,23.04,73,100,4.63,US,1688834963
363,pitkyaranta,61.5734,31.4792,14.91,89,73,0.97,RU,1688834963
364,oliveira dos brejinhos,-12.3169,-42.8961,33.28,25,0,0.37,BR,1688834963
365,masaka,-0.3338,31.7341,19.33,66,34,2.58,UG,1688834963
